	記号,一般,*,*,*,*,*
て	助詞,接続助詞,*,*,*,*,て,テ,テ
より	副詞,一般,*,*,*,*,より,ヨリ,ヨリ
しんどい	形容詞,自立,*,*,形容詞・アウオ段,基本形,しんどい,シンドイ,シンドイ
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ
。	記号,句点,*,*,*,*,。,。,。
🐬	記号,一般,*,*,*,*,イルカ,イルカ,イルカ
J1	名詞,固有名詞,一般,*,*,*,J1,ジェーワン,ジェーワン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
帰ろ	動詞,自立,*,*,五段・ラ行,未然ウ接続,帰る,カエロ,カエロ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
！	記号,一般,*,*,*,*,！,！,！
松本山雅	名詞,固有名詞,一般,*,*,*,松本山雅,マツモトヤマガサッカークラブ,マツモトヤマガサッカークラブ
、	記号,読点,*,*,*,*,、,、,、
札幌	名詞,固有名詞,地域,一般,*,*,札幌,サッポロ,サッポロ
、	記号,読点,*,*,*,*,、,、,、
千葉	名詞,固有名詞,地域,一般,*,*,千葉,チバ,チバ
(^o^)/	記号,一般,*,*,*,*,(^o^)/,エガオ,エガオ
ネガティブ	名詞,形容動詞語幹,*,*,*,*,ネガティブ,ネガティブ,ネガティブ
だ	助動詞,*,*,*,特殊・ダ,基本形,だ,ダ,ダ
し	助詞,接続助詞,*,*,*,*,し,シ,シ
自信	名詞,一般,*,*,*,*,自信,ジシン,ジシン
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
こういう	連体詞,*,*,*,*,*,こういう,コウイウ,コーユウ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
と	助詞,格助詞,引用,*,*,*,と,ト,ト
行き	動詞,自立,*,*,五段・カ行促音便,連用形,行く,イキ,イキ
にくい	形容詞,非自立,*,*,形容詞・アウオ段,基本形,にくい,ニクイ,ニクイ
(&	記号,一般,*,*,*,*,*
gt	名詞,固有名詞,一般,*,*,*,GT,ジーティ,ジーティ
;&	記号,一般,*,*,*,*,*
lt	名詞,固有名詞,一般,*,*,*,LT,エルティ,エルティ
;)	記号,一般,*,*,*,*,*
みっちゃん	名詞,固有名詞,人名,一般,*,*,みっちゃん,ミッチャン,ミッチャン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
おでこ	名詞,一般,*,*,*,*,おでこ,オデコ,オデコ
可愛い	形容詞,自立,*,*,形容詞・イ段,基本形,可愛い,カワイイ,カワイイ
！	記号,一般,*,*,*,*,！,！,！
#	記号,一般,*,*,*,*,*
ぶるぺん	名詞,一般,*,*,*,*,ブルペン,ブルペン,ブルペン
（	記号,括弧開,*,*,*,*,（,（,（
続き	動詞,自立,*,*,五段・カ行イ音便,連用形,続く,ツヅキ,ツズキ
）	記号,括弧閉,*,*,*,*,）,）,）
ただし	接続詞,*,*,*,*,*,ただし,タダシ,タダシ
、	記号,読点,*,*,*,*,、,、,、
身体	名詞,一般,*,*,*,*,身体,シンタイ,シンタイ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
壊さ	動詞,自立,*,*,五段・サ行,未然形,壊す,コワサ,コワサ
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
こと	名詞,非自立,一般,*,*,*,こと,コト,コト
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
大前提	名詞,一般,*,*,*,*,大前提,ダイゼンテイ,ダイゼンテイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
休む	動詞,自立,*,*,五段・マ行,基本形,休む,ヤスム,ヤスム
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
休み	動詞,自立,*,*,五段・マ行,連用形,休む,ヤスミ,ヤスミ
遊ぶ	動詞,自立,*,*,五段・バ行,基本形,遊ぶ,アソブ,アソブ
時	名詞,非自立,副詞可能,*,*,*,時,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
遊ぼ	動詞,自立,*,*,五段・バ行,未然ウ接続,遊ぶ,アソボ,アソボ
う	助動詞,*,*,*,不変化型,基本形,う,ウ,ウ
。	記号,句点,*,*,*,*,。,。,。
歳	名詞,一般,*,*,*,*,歳,トシ,トシ
くっ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,くう,クッ,クッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
も	助詞,係助詞,*,*,*,*,も,モ,モ
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
から	助詞,接続助詞,*,*,*,*,から,カラ,カラ
でき	動詞,自立,*,*,一段,連用形,できる,デキ,デキ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
僕	名詞,代名詞,一般,*,*,*,僕,ボク,ボク
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
29	名詞,数,*,*,*,*,*
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
20	名詞,数,*,*,*,*,*
台	名詞,接尾,助数詞,*,*,*,台,ダイ,ダイ
前半	名詞,一般,*,*,*,*,前半,ゼンハン,ゼンハン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
今	接頭詞,名詞接続,*,*,*,*,今,コン,コン
コテンパン	名詞,固有名詞,一般,*,*,*,コテンパン,コテンパン,コテンパン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
やら	動詞,自立,*,*,五段・ラ行,未然形,やる,ヤラ,ヤラ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
そういう	連体詞,*,*,*,*,*,そういう,ソウイウ,ソーユウ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
大事	名詞,形容動詞語幹,*,*,*,*,大事,ダイジ,ダイジ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
開き直り	動詞,自立,*,*,五段・ラ行,連用形,開き直る,ヒラキナオリ,ヒラキナオリ
力	名詞,接尾,一般,*,*,*,力,リョク,リョク
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
まぁ	感動詞,*,*,*,*,*,まぁ,マァ,マー
でも	接続詞,*,*,*,*,*,でも,デモ,デモ
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
より	助詞,格助詞,一般,*,*,*,より,ヨリ,ヨリ
自分	名詞,一般,*,*,*,*,自分,ジブン,ジブン
と	助詞,格助詞,一般,*,*,*,と,ト,ト
の	助詞,連体化,*,*,*,*,の,ノ,ノ
戦い	名詞,一般,*,*,*,*,戦い,タタカイ,タタカイ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
。	記号,句点,*,*,*,*,。,。,。
人	名詞,一般,*,*,*,*,人,ヒト,ヒト
と	助詞,格助詞,引用,*,*,*,と,ト,ト
比べる	動詞,自立,*,*,一段,基本形,比べる,クラベル,クラベル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
余計	名詞,形容動詞語幹,*,*,*,*,余計,ヨケイ,ヨケイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
事	名詞,非自立,一般,*,*,*,事,コト,コト
考え	動詞,自立,*,*,一段,連用形,考える,カンガエ,カンガエ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまう	動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ
以上	名詞,非自立,副詞可能,*,*,*,以上,イジョウ,イジョー
、	記号,読点,*,*,*,*,、,、,、
三十路	名詞,一般,*,*,*,*,三十路,ミソジ,ミソジ
による	助詞,格助詞,連語,*,*,*,による,ニヨル,ニヨル
転職	名詞,サ変接続,*,*,*,*,転職,テンショク,テンショク
1	名詞,数,*,*,*,*,*
ヶ月	名詞,接尾,助数詞,*,*,*,ヶ月,カゲツ,カゲツ
半	名詞,接尾,一般,*,*,*,半,ハン,ハン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
チャレンジ	名詞,サ変接続,*,*,*,*,チャレンジ,チャレンジ,チャレンジ
講座	名詞,一般,*,*,*,*,講座,コウザ,コーザ
でし	助動詞,*,*,*,特殊・デス,連用形,です,デシ,デシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
マンツーレッスン	名詞,一般,*,*,*,*,*
頑張り	動詞,自立,*,*,五段・ラ行,連用形,頑張る,ガンバリ,ガンバリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
。	記号,句点,*,*,*,*,。,。,。
能力	名詞,一般,*,*,*,*,能力,ノウリョク,ノーリョク
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
低い	形容詞,自立,*,*,形容詞・アウオ段,基本形,低い,ヒクイ,ヒクイ
ので	助詞,接続助詞,*,*,*,*,ので,ノデ,ノデ
お金	名詞,一般,*,*,*,*,お金,オカネ,オカネ
も	助詞,係助詞,*,*,*,*,も,モ,モ
かかり	動詞,自立,*,*,五段・ラ行,連用形,かかる,カカリ,カカリ
ます	助動詞,*,*,*,特殊・マス,基本形,ます,マス,マス
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
自己投資	名詞,固有名詞,一般,*,*,*,自己投資,ジコトウシ,ジコトーシ
です	助動詞,*,*,*,特殊・デス,基本形,です,デス,デス
！	記号,一般,*,*,*,*,！,！,！
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
清水	名詞,固有名詞,組織,*,*,*,清水,シミズ,シミズ
サーブ	名詞,サ変接続,*,*,*,*,サーブ,サーブ,サーブ
下手	名詞,サ変接続,*,*,*,*,下手,ヘタ,ヘタ
すぎ	名詞,接尾,副詞可能,*,*,*,すぎ,スギ,スギ
ね	助詞,終助詞,*,*,*,*,ね,ネ,ネ
？	記号,一般,*,*,*,*,？,？,？
レイナ	名詞,固有名詞,人名,名,*,*,レイナ,レイナ,レイナ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
スペイン	名詞,固有名詞,地域,国,*,*,スペイン,スペイン,スペイン
後	名詞,接尾,副詞可能,*,*,*,後,ゴ,ゴ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
女王	名詞,一般,*,*,*,*,女王,ジョオウ,ジョオー
っていう	助詞,格助詞,連語,*,*,*,っていう,ッテイウ,ッテユウ
意味	名詞,サ変接続,*,*,*,*,意味,イミ,イミ
らしい	助動詞,*,*,*,形容詞・イ段,基本形,らしい,ラシイ,ラシイ
。	記号,句点,*,*,*,*,。,。,。
HUNTER×HUNTER	名詞,固有名詞,一般,*,*,*,HUNTER×HUNTER,ハンターハンター,ハンターハンター
、	記号,読点,*,*,*,*,、,、,、
うむ	名詞,一般,*,*,*,*,有無,ウム,ウム
納得	名詞,サ変接続,*,*,*,*,納得,ナットク,ナットク
ガンジス川	名詞,固有名詞,一般,*,*,*,ガンジス川,ガンジスガワ,ガンジスガワ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
水	名詞,一般,*,*,*,*,水,ミズ,ミズ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
販売	名詞,サ変接続,*,*,*,*,販売,ハンバイ,ハンバイ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
。	記号,句点,*,*,*,*,。,。,。
絶対	名詞,副詞可能,*,*,*,*,絶対,ゼッタイ,ゼッタイ
飲み	動詞,自立,*,*,五段・マ行,連用形,飲む,ノミ,ノミ
たく	助動詞,*,*,*,特殊・タイ,連用テ接続,たい,タク,タク
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ
。	記号,句点,*,*,*,*,。,。,。
楽し	形容詞,自立,*,*,形容詞・イ段,ガル接続,楽しい,タノシ,タノシ
すぎ	動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
・	記号,一般,*,*,*,*,・,・,・
・	記号,一般,*,*,*,*,・,・,・
・	記号,一般,*,*,*,*,・,・,・
買い	動詞,自立,*,*,五段・ワ行促音便,連用形,買う,カイ,カイ
すぎ	動詞,非自立,*,*,一段,連用形,すぎる,スギ,スギ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
・	記号,一般,*,*,*,*,・,・,・
・	記号,一般,*,*,*,*,・,・,・
・	記号,一般,*,*,*,*,・,・,・
ガチャガチャ	名詞,一般,*,*,*,*,ガチャガチャ,ガチャガチャ,ガチャガチャ
迷っ	動詞,自立,*,*,五段・ワ行促音便,連用タ接続,迷う,マヨッ,マヨッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
結果	名詞,副詞可能,*,*,*,*,結果,ケッカ,ケッカ
５	名詞,数,*,*,*,*,５,ゴ,ゴ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
ちゃっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続,ちゃう,チャッ,チャッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
(	記号,一般,*,*,*,*,*
泣	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
とけ	動詞,非自立,*,*,五段・カ行イ音便,仮定形,とく,トケ,トケ
ば	助詞,接続助詞,*,*,*,*,ば,バ,バ
よかっ	形容詞,非自立,*,*,形容詞・アウオ段,連用タ接続,よい,ヨカッ,ヨカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
なぁー	助詞,終助詞,*,*,*,*,なぁー,ナァー,ナー
あんばい	名詞,サ変接続,*,*,*,*,あんばい,アンバイ,アンバイ
いい	形容詞,自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
加州	名詞,固有名詞,地域,一般,*,*,加州,カシュウ,カシュー
率	名詞,接尾,一般,*,*,*,率,リツ,リツ
高かっ	形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,高い,タカカッ,タカカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
な	助詞,終助詞,*,*,*,*,な,ナ,ナ
(	記号,一般,*,*,*,*,*
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
)	記号,一般,*,*,*,*,*
いわ	動詞,自立,*,*,五段・ワ行促音便,未然形,いう,イワ,イワ
とー	名詞,固有名詞,一般,*,*,*,トー,トー,トー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
こ	動詞,非自立,*,*,カ変・クル,未然形,くる,コ,コ
なかっ	助動詞,*,*,*,特殊・ナイ,連用タ接続,ない,ナカッ,ナカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
残念	名詞,形容動詞語幹,*,*,*,*,残念,ザンネン,ザンネン
(	記号,一般,*,*,*,*,*
泣	名詞,固有名詞,組織,*,*,*,*
)	記号,一般,*,*,*,*,*
７日	名詞,固有名詞,一般,*,*,*,7日,ナノカ,ナノカ,[:_:1558	1542	8142]
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
１０回	名詞,固有名詞,一般,*,*,*,10回,ジュッカイ,ジュッカイ,[:_:80.9999999999998	80	8281]
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
ちゃ	助詞,接続助詞,*,*,*,*,ちゃ,チャ,チャ
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
ー	名詞,一般,*,*,*,*,*
！	記号,一般,*,*,*,*,！,！,！
今日	名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中目黒	名詞,固有名詞,地域,一般,*,*,中目黒,ナカメグロ,ナカメグロ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
全体的	名詞,固有名詞,一般,*,*,*,全体的,ゼンタイテキ,ゼンタイテキ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
静か	名詞,形容動詞語幹,*,*,*,*,静か,シズカ,シズカ
そう	名詞,接尾,助動詞語幹,*,*,*,そう,ソウ,ソー
。	記号,句点,*,*,*,*,。,。,。
目黒	名詞,固有名詞,地域,一般,*,*,目黒,メグロ,メグロ
警察	名詞,一般,*,*,*,*,警察,ケイサツ,ケイサツ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
横	名詞,一般,*,*,*,*,横,ヨコ,ヨコ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ラーメン屋	名詞,固有名詞,一般,*,*,*,ラーメン屋,ラーメンヤ,ラーメンヤ
気	名詞,一般,*,*,*,*,気,キ,キ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
なる	動詞,自立,*,*,五段・ラ行,基本形,なる,ナル,ナル
。	記号,句点,*,*,*,*,。,。,。
お	接頭詞,名詞接続,*,*,*,*,お,オ,オ
腹いっぱい	名詞,一般,*,*,*,*,腹一杯,ハライッパイ,ハライッパイ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
ー	名詞,一般,*,*,*,*,*
ちょい	副詞,助詞類接続,*,*,*,*,ちょい,チョイ,チョイ
前	名詞,副詞可能,*,*,*,*,前,マエ,マエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
宮村	名詞,固有名詞,人名,姓,*,*,宮村,ミヤムラ,ミヤムラ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
銀座	名詞,固有名詞,地域,一般,*,*,銀座,ギンザ,ギンザ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
見かけ	動詞,自立,*,*,一段,連用形,見かける,ミカケ,ミカケ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
とき	名詞,非自立,副詞可能,*,*,*,とき,トキ,トキ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
震え	動詞,自立,*,*,一段,連用形,震える,フルエ,フルエ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
久しぶり	名詞,一般,*,*,*,*,久しぶり,ヒサシブリ,ヒサシブリ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
不動前	名詞,固有名詞,地域,一般,*,*,不動前,フドウマエ,フドーマエ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
引っ越し	動詞,自立,*,*,五段・サ行,連用形,引っ越す,ヒッコシ,ヒッコシ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
。	記号,句点,*,*,*,*,。,。,。
ふざけんなよ	名詞,固有名詞,一般,*,*,*,ふざけんなよ,フザケンナヨ,フザケンナヨ
ー	名詞,一般,*,*,*,*,*
ショック	名詞,一般,*,*,*,*,ショック,ショック,ショック
すぎ	動詞,自立,*,*,一段,連用形,すぎる,スギ,スギ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
(´･	記号,一般,*,*,*,*,*
･`)	記号,一般,*,*,*,*,*
先生	名詞,一般,*,*,*,*,先生,センセイ,センセイ
と	助詞,格助詞,一般,*,*,*,と,ト,ト
お話し	名詞,サ変接続,*,*,*,*,お話し,オハナシ,オハナシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
！	記号,一般,*,*,*,*,！,！,！
テンション	名詞,一般,*,*,*,*,テンション,テンション,テンション
上がる	動詞,自立,*,*,五段・ラ行,基本形,上がる,アガル,アガル
✨	記号,一般,*,*,*,*,キラキラ,キラキラ,キラキラ
ゲイ	名詞,一般,*,*,*,*,ゲイ,ゲイ,ゲイ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
のに	助詞,接続助詞,*,*,*,*,のに,ノニ,ノニ
セーラームーン	名詞,固有名詞,一般,*,*,*,セーラームーン,セーラームーン,セーラームーン
好き	名詞,接尾,形容動詞語幹,*,*,*,好き,スキ,スキ
って	助詞,格助詞,連語,*,*,*,って,ッテ,ッテ
ギャップ	名詞,一般,*,*,*,*,ギャップ,ギャップ,ギャップ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
スゴ	名詞,一般,*,*,*,*,*
い	動詞,自立,*,*,一段,連用形,いる,イ,イ
(	記号,一般,*,*,*,*,*
笑	名詞,固有名詞,人名,名,*,*,笑,エミ,エミ
)	記号,一般,*,*,*,*,*
#	記号,一般,*,*,*,*,*
ぷる	副詞,一般,*,*,*,*,ぷる,プル,プル
ぺん	名詞,接尾,助数詞,*,*,*,ぺん,ペン,ペン
とりあえず	名詞,一般,*,*,*,*,取りあえず,トリアエズ,トリアエズ
金玉	名詞,一般,*,*,*,*,金玉,キンギョク,キンギョク
売る	動詞,自立,*,*,五段・ラ行,基本形,売る,ウル,ウル
しか	助詞,係助詞,*,*,*,*,しか,シカ,シカ
ない	形容詞,自立,*,*,形容詞・アウオ段,基本形,ない,ナイ,ナイ
どう	副詞,助詞類接続,*,*,*,*,どう,ドウ,ドー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
羽生	名詞,固有名詞,人名,姓,*,*,羽生,ハブ,ハブ
！	記号,一般,*,*,*,*,！,！,！
！	記号,一般,*,*,*,*,！,！,！
！	記号,一般,*,*,*,*,！,！,！
同期	名詞,副詞可能,*,*,*,*,同期,ドウキ,ドーキ
会し	動詞,自立,*,*,五段・サ行,連用形,会す,カイシ,カイシ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド
一発ギャグ	名詞,固有名詞,一般,*,*,*,一発ギャグ,イッパツギャグ,イッパツギャグ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
応酬	名詞,サ変接続,*,*,*,*,応酬,オウシュウ,オーシュー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
巻き込ま	動詞,自立,*,*,五段・マ行,未然形,巻き込む,マキコマ,マキコマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
カレー	名詞,固有名詞,地域,一般,*,*,カレー,カレー,カレー
せいろ	名詞,一般,*,*,*,*,蒸篭,セイロ,セイロ
また	副詞,助詞類接続,*,*,*,*,また,マタ,マタ
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
しまう	動詞,非自立,*,*,五段・ワ行促音便,基本形,しまう,シマウ,シマウ
😩	記号,一般,*,*,*,*,えー,エー,エー
泣き	動詞,自立,*,*,五段・カ行イ音便,連用形,泣く,ナキ,ナキ
たい	助動詞,*,*,*,特殊・タイ,基本形,たい,タイ,タイ
🙁	記号,一般,*,*,*,*,しかめっ面,シカメッツラ,シカメッツラ
葵	名詞,固有名詞,人名,姓,*,*,葵,アオイ,アオイ
さん	名詞,接尾,人名,*,*,*,さん,サン,サン
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
気付い	動詞,自立,*,*,五段・カ行イ音便,連用タ接続,気付く,キヅイ,キズイ
て	動詞,非自立,*,*,一段,連用形,てる,テ,テ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
の	名詞,非自立,一般,*,*,*,の,ノ,ノ
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ
…	記号,一般,*,*,*,*,…,…,…
こないだ	名詞,副詞可能,*,*,*,*,こないだ,コナイダ,コナイダ
電話	名詞,サ変接続,*,*,*,*,電話,デンワ,デンワ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
話し	動詞,自立,*,*,五段・サ行,連用形,話す,ハナシ,ハナシ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
福岡	名詞,固有名詞,地域,一般,*,*,福岡,フクオカ,フクオカ
在住	名詞,サ変接続,*,*,*,*,在住,ザイジュウ,ザイジュー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ネパール	名詞,固有名詞,地域,国,*,*,ネパール,ネパール,ネパール
人	名詞,接尾,一般,*,*,*,人,ジン,ジン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
完全	名詞,形容動詞語幹,*,*,*,*,完全,カンゼン,カンゼン
ヒモ	名詞,一般,*,*,*,*,ヒモ,ヒモ,ヒモ
目	名詞,接尾,一般,*,*,*,目,メ,メ
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
感じ	名詞,一般,*,*,*,*,感じ,カンジ,カンジ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
給料	名詞,一般,*,*,*,*,給料,キュウリョウ,キューリョー
聞か	動詞,自立,*,*,五段・カ行イ音便,未然形,聞く,キカ,キカ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
し	助動詞,*,*,*,文語・キ,体言接続,き,シ,シ
w	名詞,一般,*,*,*,*,*
ジャパニーズガール	名詞,固有名詞,一般,*,*,*,Japanese girl,ジャパニーズガール,ジャパニーズガール
舐め	動詞,自立,*,*,一段,未然形,舐める,ナメ,ナメ
られ	動詞,接尾,*,*,一段,連用形,られる,ラレ,ラレ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
w	名詞,固有名詞,組織,*,*,*,*
日本	名詞,固有名詞,地域,国,*,*,日本,ニッポン,ニッポン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
旅行	名詞,サ変接続,*,*,*,*,旅行,リョコウ,リョコー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
来	動詞,自立,*,*,カ変・来ル,連用形,来る,キ,キ
てる	動詞,非自立,*,*,一段,基本形,てる,テル,テル
タイワニーズ	名詞,固有名詞,一般,*,*,*,タイワニーズ,タイワニーズ,タイワニーズ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
東京	名詞,固有名詞,地域,一般,*,*,東京,トウキョウ,トーキョー
